date,entity,score
17/2/20,bitpanda,3.706470184
24/2/20,bitpanda,50.5224522
25/2/20,bitpanda,0.946937426
5/3/20,bitpanda,1.499315218
14/5/20,bitpanda,2.200072088
24/5/20,bitpanda,1.333435411
18/6/20,bitpanda,1.811868402
16/1/20,bitstamp,24.91585113
17/1/20,bitstamp,10.55614981
19/1/20,bitstamp,95.07079192
20/1/20,bitstamp,1.263824112
21/1/20,bitstamp,40.32542243
28/1/20,bitstamp,6.177312006
29/1/20,bitstamp,13.36330683
30/1/20,bitstamp,41.97093323
3/2/20,bitstamp,1.107074795
7/2/20,bitstamp,0.792920265
9/2/20,bitstamp,10.08187911
19/2/20,bitstamp,99.05881551
27/2/20,bitstamp,1.068412422
28/2/20,bitstamp,1.807971557
4/3/20,bitstamp,2.032481322
5/3/20,bitstamp,1.278737177
7/3/20,bitstamp,1.177431343
9/3/20,bitstamp,0.784710795
13/3/20,bitstamp,3.492313728
18/3/20,bitstamp,2.026940054
25/3/20,bitstamp,5.588454045
28/3/20,bitstamp,1.647539426
12/4/20,bitstamp,70.1610481
15/4/20,bitstamp,98.41278248
19/4/20,bitstamp,1.276762349
23/4/20,bitstamp,1.209063543
26/4/20,bitstamp,44.78508416
1/5/20,bitstamp,1.15181206
5/5/20,bitstamp,2.170425017
9/5/20,bitstamp,1.296234921
13/5/20,bitstamp,99.12104782
14/5/20,bitstamp,1.962670157
16/5/20,bitstamp,1.75827633
17/5/20,bitstamp,3.676675981
18/5/20,bitstamp,1.459926258
20/5/20,bitstamp,1.171272032
21/5/20,bitstamp,9.952353255
7/6/20,bitstamp,1.45302416
9/6/20,bitstamp,6.238084969
23/6/20,bitstamp,2.041307029
27/6/20,bitstamp,1.117519316
29/6/20,bitstamp,2.439717389
5/1/20,bittrex,3.847721638
6/1/20,bittrex,5.505490585
7/1/20,bittrex,78.92268226
10/1/20,bittrex,1.41077691
15/1/20,bittrex,4.332442444
17/1/20,bittrex,1.581694013
22/1/20,bittrex,1.508653042
29/1/20,bittrex,1.873570565
31/1/20,bittrex,1.227330333
1/2/20,bittrex,0.80396917
6/2/20,bittrex,2.192233313
8/2/20,bittrex,51.62549356
9/2/20,bittrex,95.97877705
11/2/20,bittrex,3.2091909
12/2/20,bittrex,1.100739437
13/2/20,bittrex,1.655475269
16/2/20,bittrex,12.13027297
20/2/20,bittrex,4.67802221
22/2/20,bittrex,1.227656792
23/2/20,bittrex,3.354239709
25/2/20,bittrex,1.318149223
27/2/20,bittrex,9.82054586
28/2/20,bittrex,17.85035598
4/3/20,bittrex,2.032481322
11/3/20,bittrex,2.782608742
13/3/20,bittrex,98.44359322
17/3/20,bittrex,2.034310084
18/3/20,bittrex,1.396462732
26/3/20,bittrex,2.117134381
7/4/20,bittrex,1.112761
18/4/20,bittrex,4.918156478
25/4/20,bittrex,1.088005959
29/4/20,bittrex,2.031869483
6/5/20,bittrex,1.149897466
15/5/20,bittrex,1.250596861
20/5/20,bittrex,1.476821927
21/5/20,bittrex,13.89048769
22/5/20,bittrex,89.72177468
29/5/20,bittrex,1.924251154
31/5/20,bittrex,3.575816919
1/6/20,bittrex,1.485204567
2/6/20,bittrex,10.69450302
6/6/20,bittrex,1.086389676
7/6/20,bittrex,1.431217009
9/6/20,bittrex,1.833349339
12/6/20,bittrex,1.207104556
13/6/20,bittrex,1.180548856
19/6/20,bittrex,3.422209592
21/6/20,bittrex,18.28805748
22/6/20,bittrex,1.057750531
26/6/20,bittrex,1.240825882
27/6/20,bittrex,0.880564904
3/1/20,blockfi,1.296422229
10/1/20,blockfi,1.363057355
12/1/20,blockfi,0.723629471
14/1/20,blockfi,2.346420052
15/1/20,blockfi,9.159693088
18/1/20,blockfi,1.697939338
20/1/20,blockfi,3.334813502
21/1/20,blockfi,2.249733704
24/1/20,blockfi,1.032061032
25/1/20,blockfi,2.292316365
5/2/20,blockfi,1.675556446
6/2/20,blockfi,2.319204489
12/2/20,blockfi,1.309064332
13/2/20,blockfi,1.090198295
14/2/20,blockfi,0.582716092
17/2/20,blockfi,2.406394847
1/3/20,blockfi,0.884012833
4/3/20,blockfi,1.258752103
10/3/20,blockfi,1.493825708
11/3/20,blockfi,1.292691478
12/3/20,blockfi,1.183906845
14/3/20,blockfi,1.545405656
18/3/20,blockfi,1.515885361
22/3/20,blockfi,4.11923829
23/3/20,blockfi,1.506950691
24/3/20,blockfi,2.537158267
6/4/20,blockfi,1.351501583
7/4/20,blockfi,1.133456035
8/4/20,blockfi,0.828147465
9/4/20,blockfi,1.234339226
14/4/20,blockfi,1.082480352
17/4/20,blockfi,2.362348709
19/4/20,blockfi,5.71943461
23/4/20,blockfi,0.886518154
25/4/20,blockfi,1.426390089
1/5/20,blockfi,0.851617139
2/5/20,blockfi,1.624723726
6/5/20,blockfi,1.247274092
7/5/20,blockfi,1.366914117
8/5/20,blockfi,1.363197402
9/5/20,blockfi,1.198134825
10/5/20,blockfi,2.205981616
11/5/20,blockfi,1.158048531
12/5/20,blockfi,1.480811664
14/5/20,blockfi,0.920446356
15/5/20,blockfi,1.18451589
16/5/20,blockfi,1.245733071
17/5/20,blockfi,1.282228235
18/5/20,blockfi,0.706634576
19/5/20,blockfi,28.10129029
20/5/20,blockfi,28.51011668
21/5/20,blockfi,9.761135125
22/5/20,blockfi,9.605840832
23/5/20,blockfi,1.863185352
24/5/20,blockfi,2.46020323
25/5/20,blockfi,2.721794472
26/5/20,blockfi,1.165666433
27/5/20,blockfi,26.51613862
28/5/20,blockfi,1.45292049
29/5/20,blockfi,1.867024303
30/5/20,blockfi,24.53556683
31/5/20,blockfi,1.88639406
1/6/20,blockfi,3.346373259
2/6/20,blockfi,7.661779704
3/6/20,blockfi,1.294345498
4/6/20,blockfi,1.550977568
5/6/20,blockfi,47.59017943
6/6/20,blockfi,1.29836522
7/6/20,blockfi,15.61845263
8/6/20,blockfi,0.883895438
9/6/20,blockfi,20.53596057
13/6/20,blockfi,1.293802952
17/6/20,blockfi,4.062598675
18/6/20,blockfi,1.259614722
21/6/20,blockfi,1.254011532
22/6/20,blockfi,0.873775887
23/6/20,blockfi,1.194480074
25/6/20,blockfi,78.80890982
26/6/20,blockfi,2.560076931
27/6/20,blockfi,1.52156871
28/6/20,blockfi,1.113241204
29/6/20,blockfi,12.71409339
9/1/20,celsius network,0.791647828
16/2/20,celsius network,95.02666063
24/3/20,celsius network,2.537158267
1/4/20,celsius network,11.02485666
18/4/20,celsius network,12.70423493
22/5/20,celsius network,2.383874028
25/5/20,celsius network,4.913387969
2/6/20,celsius network,63.6547951
27/6/20,celsius network,0.991172769
9/1/20,cobinhood,93.09414128
10/1/20,cobinhood,81.90544716
11/1/20,cobinhood,32.68086745
10/2/20,cobinhood,2.310452828
14/2/20,cobinhood,1.489845351
10/3/20,cobinhood,1.411331802
17/4/20,cobinhood,98.91994629
7/5/20,cobinhood,97.43509843
20/6/20,cobo,1.072072471
1/1/20,coinbase,1.090359502
2/1/20,coinbase,32.93346719
